Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Bronx,,40.83545663,-73.92011907,POINT (-73.92011907 40.83545663),BX04,BX,FoodScrap
Bronx,"494 E 141st St, The Bronx, NY 10454",40.8097074,-73.9185797,POINT (-73.9185797 40.8097074),BX01,BX,FoodScrap
Bronx,,40.84052114,-73.91521599,POINT (-73.91521599 40.84052114),BX04,BX,FoodScrap
Manhattan,,40.71741522,-74.013125,POINT (-74.013125 40.71741522),MN01,MN,FoodScrap
Manhattan,,40.73913472,-73.9954027,POINT (-73.9954027 40.73913472),MN05,MN,FoodScrap
Bronx,,40.85886086,-73.91091943,POINT (-73.91091943 40.85886086),BX07,BX,FoodScrap
Manhattan,,40.74723685,-73.98983753,POINT (-73.98983753 40.74723685),MN05,MN,FoodScrap
Queens,"385 Beach 45th St, Far Rockaway, NY 11691",40.595012,-73.7765544,POINT (-73.7765544 40.595012),QE14,QE,FoodScrap
Manhattan,,40.78008138,-73.95322226,POINT (-73.95322226 40.78008138),MN08,MN,FoodScrap
Manhattan,Seaman Ave and Isham St (N corner),40.870106,-73.920792,POINT (-73.920792 40.870106),MN12,MN,FoodScrap
Manhattan,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,40.756032,-74.006046,POINT (-74.006046 40.756032),MN04,MN,FoodScrap
Brooklyn,,40.69040998,-73.94542437,POINT (-73.94542437 40.69040998),BKN03,BKN,FoodScrap
Manhattan,"546 East 12th St, New York, NY 10009",40.7281,-73.979,POINT (-73.979 40.7281),MN03,MN,FoodScrap
Bronx,,40.82885132,-73.85682028,POINT (-73.85682028 40.82885132),BX09,BX,FoodScrap
Manhattan,,40.80473262,-73.96234996,POINT (-73.96234996 40.80473262),MN09,MN,FoodScrap
Queens,,40.75685381,-73.90800554,POINT (-73.90800554 40.75685381),QW01,QW,FoodScrap
Bronx,,40.8385211,-73.84905796,POINT (-73.84905796 40.8385211),BX10,BX,FoodScrap
Queens,,40.76355516,-73.92199025,POINT (-73.92199025 40.76355516),QW01,QW,FoodScrap
Manhattan,,40.7185603,-73.99876398,POINT (-73.99876398 40.7185603),MN02,MN,FoodScrap
Brooklyn,,40.67029476,-73.92811507,POINT (-73.92811507 40.67029476),BKN08,BKN,FoodScrap
Brooklyn,,40.67676683,-73.94710109,POINT (-73.94710109 40.67676683),BKN08,BKN,FoodScrap
Brooklyn,,40.67812845,-73.91918834,POINT (-73.91918834 40.67812845),BKN03,BKN,FoodScrap
Brooklyn,,40.67165677,-73.95756003,POINT (-73.95756003 40.67165677),BKN08,BKN,FoodScrap
Brooklyn,Hillel Pl & Flatbush Ave,40.632583,-73.948111,POINT (-73.948111 40.632583),BKS14,BKS,FoodScrap
Manhattan,"West of 110 West 90th street, New York, NY 10024 (between Columbus Ave and Amsterdam Ave)",40.78951562,-73.9716111,POINT (-73.9716111 40.78951562),MN07,MN,FoodScrap
Queens,"50th St and Barnett Avenue Woodside, NY 11104",40.75013,-73.91369,POINT (-73.91369 40.75013),QW02,QW,FoodScrap
Queens,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",40.746199,-73.919118,POINT (-73.919118 40.746199),QW02,QW,FoodScrap
Manhattan,,40.7948329,-73.93320322,POINT (-73.93320322 40.7948329),MN11,MN,FoodScrap
Manhattan,,40.77035403,-73.95388877,POINT (-73.95388877 40.77035403),MN08,MN,FoodScrap
Brooklyn,"15 River Street Brooklyn, NY 11249",40.714448,-73.968049,POINT (-73.968049 40.714448),BKN01,BKN,FoodScrap
Manhattan,,40.79525233,-73.97328626,POINT (-73.97328626 40.79525233),MN07,MN,FoodScrap
Manhattan,East 91st St & York Ave,40.779055,-73.944665,POINT (-73.944665 40.779055),MN08,MN,FoodScrap
Queens,"86-02 Broadway, Elmhurst, NY 11373",40.73833,-73.87775,POINT (-73.87775 40.73833),QW04,QW,FoodScrap
Queens,,40.76558558,-73.92632732,POINT (-73.92632732 40.76558558),QW01,QW,FoodScrap
Manhattan,,40.77113841,-73.98717945,POINT (-73.98717945 40.77113841),MN07,MN,FoodScrap
Manhattan,,40.71989182,-73.99195962,POINT (-73.99195962 40.71989182),MN03,MN,FoodScrap
Brooklyn,"7151 Avenue T, Brooklyn, NY 11234",40.62214652,-73.9084944,POINT (-73.9084944 40.62214652),BKS18,BKS,FoodScrap
Brooklyn,"336 3rd St, Brooklyn, NY 11215",40.6727118,-73.984731,POINT (-73.984731 40.6727118),BKS06,BKS,FoodScrap
Manhattan,"437 E 114th St, New York, NY 10029",40.79426591,-73.93441424,POINT (-73.93441424 40.79426591),MN11,MN,FoodScrap
Staten Island,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden 1000 Richmond Terrace,40.641619,-74.1012686,POINT (-74.1012686 40.641619),SI01,SI,FoodScrap
Queens,,40.76417452,-73.92345808,POINT (-73.92345808 40.76417452),QW01,QW,FoodScrap
Queens,,40.77285588,-73.93261246,POINT (-73.93261246 40.77285588),QW01,QW,FoodScrap
Manhattan,,40.78070495,-73.97665659,POINT (-73.97665659 40.78070495),MN07,MN,FoodScrap
Brooklyn,,40.67165371,-73.96107707,POINT (-73.96107707 40.67165371),BKN08,BKN,FoodScrap
Manhattan,"130 W 139th St, New York, NY 10030",40.81714524,-73.94088227,POINT (-73.94088227 40.81714524),MN10,MN,FoodScrap
Manhattan,,40.81491836,-73.95299658,POINT (-73.95299658 40.81491836),MN09,MN,FoodScrap
Queens,"82-52 Abingdon Road Kew Gardens, NY 11415",40.7081655,-73.8342141,POINT (-73.8342141 40.7081655),QW09,QW,FoodScrap
Brooklyn,"219 McKibben Street, Brooklyn, NY 11206",40.705441,-73.93882,POINT (-73.93882 40.705441),BKN01,BKN,FoodScrap
Manhattan,Grand Street & Clinton Street,40.715889,-73.986861,POINT (-73.986861 40.715889),MN03,MN,FoodScrap
Queens,,40.76154874,-73.93188491,POINT (-73.93188491 40.76154874),QW01,QW,FoodScrap
Queens,"32-11 31st St, Queens, NY 11106",40.761472,-73.925611,POINT (-73.925611 40.761472),QW01,QW,FoodScrap
Manhattan,,40.71424652,-73.98167007,POINT (-73.98167007 40.71424652),MN03,MN,FoodScrap
Bronx,,40.85928459,-73.89476415,POINT (-73.89476415 40.85928459),BX05,BX,FoodScrap
Manhattan,,40.77806091,-73.95466305,POINT (-73.95466305 40.77806091),MN08,MN,FoodScrap
Manhattan,"Southeeast Corder of 10th Avenue and 43rd STreet, NY NY 10036",40.7601267,-73.9949035,POINT (-73.9949035 40.7601267),MN04,MN,FoodScrap
Bronx,,40.81859325,-73.86818949,POINT (-73.86818949 40.81859325),BX09,BX,FoodScrap
Manhattan,,40.76550445,-73.96592719,POINT (-73.96592719 40.76550445),MN08,MN,FoodScrap
Queens,33-50 82nd street,40.754004,-73.885483,POINT (-73.885483 40.754004),QW03,QW,FoodScrap
Brooklyn,,40.67303171,-73.94181043,POINT (-73.94181043 40.67303171),BKN08,BKN,FoodScrap
Brooklyn,Court St. and Montague St.,40.693609,-73.990261,POINT (-73.990261 40.693609),BKN02,BKN,FoodScrap
Manhattan,,40.82647613,-73.9468776,POINT (-73.9468776 40.82647613),MN09,MN,FoodScrap
Queens,Cypress Ave btw Myrtle Ave. and Putnam Ave.,40.7003,-73.906675,POINT (-73.906675 40.7003),QW05,QW,FoodScrap
Brooklyn,,40.67867868,-73.97343334,POINT (-73.97343334 40.67867868),BKN08,BKN,FoodScrap
Staten Island,,40.62214724,-74.07850452,POINT (-74.07850452 40.62214724),SI01,SI,FoodScrap
Brooklyn,613 New Lots Avenue,40.66547,-73.88668,POINT (-73.88668 40.66547),BKN05,BKN,FoodScrap
Queens,,40.7649409,-73.92701134,POINT (-73.92701134 40.7649409),QW01,QW,FoodScrap
Manhattan,,40.73120287,-73.9824943,POINT (-73.9824943 40.73120287),MN03,MN,FoodScrap
Manhattan,,40.797433,-73.93471364,POINT (-73.93471364 40.797433),MN11,MN,FoodScrap
Brooklyn,,40.68393669,-73.95034757,POINT (-73.95034757 40.68393669),BKN03,BKN,FoodScrap
Brooklyn,"474 New Jersey Ave, Brooklyn, NY 11207",40.6676529,-73.8940832,POINT (-73.8940832 40.6676529),BKN05,BKN,FoodScrap
Brooklyn,Wilson Ave & Moffat St (near L train),40.688793,-73.904826,POINT (-73.904826 40.688793),BKN04,BKN,FoodScrap
Manhattan,758 Enright Rd,40.6871579,-74.0201142,POINT (-74.0201142 40.6871579),MN01,MN,FoodScrap
Manhattan,,40.74163392,-73.99363601,POINT (-73.99363601 40.74163392),MN05,MN,FoodScrap
Manhattan,,40.7721778,-73.99013103,POINT (-73.99013103 40.7721778),MN07,MN,FoodScrap
Manhattan,,40.71066348,-74.00341004,POINT (-74.00341004 40.71066348),MN01,MN,FoodScrap
Bronx,,40.83769228,-73.8663211,POINT (-73.8663211 40.83769228),BX09,BX,FoodScrap
Brooklyn,"36 Somers Street, Brooklyn, NY 11233",40.6785,-73.912,POINT (-73.912 40.6785),BKN16,BKN,FoodScrap
Manhattan,W 97th St and Amsterdam Ave,40.794717,-73.969552,POINT (-73.969552 40.794717),MN07,MN,FoodScrap
Manhattan,,40.77611866,-73.97994637,POINT (-73.97994637 40.77611866),MN07,MN,FoodScrap
Brooklyn,,40.6734846,-73.93339064,POINT (-73.93339064 40.6734846),BKN08,BKN,FoodScrap
Manhattan,,40.78520105,-73.97335456,POINT (-73.97335456 40.78520105),MN07,MN,FoodScrap
Bronx,"2007 Mapes Ave, Bronx, NY 10460",40.844901,-73.887287,POINT (-73.887287 40.844901),BX06,BX,FoodScrap
Manhattan,,40.7540545,-73.96902092,POINT (-73.96902092 40.7540545),MN06,MN,FoodScrap
Manhattan,,40.76880091,-73.95866268,POINT (-73.95866268 40.76880091),MN08,MN,FoodScrap
Brooklyn,,40.67459378,-73.95274546,POINT (-73.95274546 40.67459378),BKN08,BKN,FoodScrap
Brooklyn,"219 34th Street, Brooklyn 11232",40.6547305,-74.0018481,POINT (-74.0018481 40.6547305),BKS07,BKS,FoodScrap
Staten Island,Chappell Street and Henderson Avenue,40.636758,-74.119727,POINT (-74.119727 40.636758),SI01,SI,FoodScrap
Manhattan,,40.73887359,-73.98511663,POINT (-73.98511663 40.73887359),MN06,MN,FoodScrap
Manhattan,,40.86620151,-73.92508216,POINT (-73.92508216 40.86620151),MN12,MN,FoodScrap
Brooklyn,,40.70669251,-73.9204542,POINT (-73.9204542 40.70669251),BKN04,BKN,FoodScrap
Brooklyn,18th Ave btwn 81st & 82nd Streets,40.609644,-73.999683,POINT (-73.999683 40.609644),BKS11,BKS,FoodScrap
Queens,,40.76656937,-73.92594543,POINT (-73.92594543 40.76656937),QW01,QW,FoodScrap
Queens,"106-1 173rd Street, Jamaica, NY",40.7018967,-73.7834692,POINT (-73.7834692 40.7018967),QE12,QE,FoodScrap
Manhattan,,40.74633636,-73.98169907,POINT (-73.98169907 40.74633636),MN05,MN,FoodScrap
Manhattan,,40.73916944,-74.00274561,POINT (-74.00274561 40.73916944),MN02,MN,FoodScrap
Brooklyn,,40.69555546,-73.94638695,POINT (-73.94638695 40.69555546),BKN03,BKN,FoodScrap
Queens,"The corner of Yellowstone Blvd, and Kessel Street Forest Hills, NY 11375",40.71645,-73.85778,POINT (-73.85778 40.71645),QW06,QW,FoodScrap
Brooklyn,,40.67358758,-73.96311119,POINT (-73.96311119 40.67358758),BKN08,BKN,FoodScrap
Bronx,3400 Reservoir Oval East,40.87896,-73.87585,POINT (-73.87585 40.87896),BX07,BX,FoodScrap
Manhattan,,40.73119051,-73.98598125,POINT (-73.98598125 40.73119051),MN03,MN,FoodScrap
Manhattan,,40.7716845,-73.96144625,POINT (-73.96144625 40.7716845),MN08,MN,FoodScrap
Manhattan,,40.74960583,-74.00261308,POINT (-74.00261308 40.74960583),MN04,MN,FoodScrap
Brooklyn,,40.69271648,-73.9155288,POINT (-73.9155288 40.69271648),BKN04,BKN,FoodScrap
Staten Island,,40.64302975,-74.07558024,POINT (-74.07558024 40.64302975),SI01,SI,FoodScrap
Brooklyn,,40.68823356,-73.95123169,POINT (-73.95123169 40.68823356),BKN03,BKN,FoodScrap
Manhattan,,40.85578084,-73.93784981,POINT (-73.93784981 40.85578084),MN12,MN,FoodScrap
Queens,Ditmars #1 Municipal Parking Field 22-18 33rd Street,40.774194,-73.911611,POINT (-73.911611 40.774194),QW01,QW,FoodScrap
Bronx,,40.82705719,-73.83048333,POINT (-73.83048333 40.82705719),BX10,BX,FoodScrap
Bronx,2502 Davidson Ave,40.864176,-73.900932,POINT (-73.900932 40.864176),BX07,BX,FoodScrap
Manhattan,,40.73534879,-73.99849526,POINT (-73.99849526 40.73534879),MN02,MN,FoodScrap
Manhattan,,40.80556262,-73.93639237,POINT (-73.93639237 40.80556262),MN11,MN,FoodScrap
Manhattan,14th Street Park at southwest corner of 15th St. and 10th Ave,40.742827,-74.0078384,POINT (-74.0078384 40.742827),MN04,MN,FoodScrap
Bronx,"5521 Mosholu Ave Bronx, NY 10471",40.90354363,-73.90384467,POINT (-73.90384467 40.90354363),BX08,BX,FoodScrap
Brooklyn,,40.69828985,-73.93382885,POINT (-73.93382885 40.69828985),BKN04,BKN,FoodScrap
