Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Manhattan,,40.79758808,-73.93138837,POINT (-73.93138837 40.79758808),MN11,MN,FoodScrap
Brooklyn,,40.68254875,-73.94996937,POINT (-73.94996937 40.68254875),BKN03,BKN,FoodScrap
Brooklyn,2 Greenpoint Ave and West Street,40.7296982,-73.9601997,POINT (-73.9601997 40.7296982),BKN01,BKN,FoodScrap
Brooklyn,,40.69090444,-73.90418004,POINT (-73.90418004 40.69090444),BKN04,BKN,FoodScrap
Manhattan,,40.74152246,-73.98135115,POINT (-73.98135115 40.74152246),MN06,MN,FoodScrap
Brooklyn,,40.70585648,-73.91865954,POINT (-73.91865954 40.70585648),BKN04,BKN,FoodScrap
Bronx,E Gun Hill Road and Dekalb Ave. (SE corner),40.88201,-73.880346,POINT (-73.880346 40.88201),BX07,BX,FoodScrap
Manhattan,,40.86054009,-73.92733723,POINT (-73.92733723 40.86054009),MN12,MN,FoodScrap
Queens,,40.75530561,-73.94141782,POINT (-73.94141782 40.75530561),QW01,QW,FoodScrap
Bronx,,40.83292727,-73.86668779,POINT (-73.86668779 40.83292727),BX09,BX,FoodScrap
Brooklyn,750 Howard Avenue,40.66362877,-73.9190362,POINT (-73.9190362 40.66362877),BKN16,BKN,FoodScrap
Brooklyn,,40.69744237,-73.92379101,POINT (-73.92379101 40.69744237),BKN04,BKN,FoodScrap
Manhattan,,40.79805485,-73.94852463,POINT (-73.94852463 40.79805485),MN10,MN,FoodScrap
Brooklyn,,40.6903182,-73.93640511,POINT (-73.93640511 40.6903182),BKN03,BKN,FoodScrap
Queens,"38-12 30th Ave, Queens, NY 11103",40.764056,-73.915722,POINT (-73.915722 40.764056),QW01,QW,FoodScrap
Brooklyn,,40.68871201,-73.95497169,POINT (-73.95497169 40.68871201),BKN03,BKN,FoodScrap
Bronx,,40.86548295,-73.89523789,POINT (-73.89523789 40.86548295),BX07,BX,FoodScrap
Manhattan,"W 181st St & Fort Washington Ave, New York, NY 10033",40.850947,-73.938068,POINT (-73.938068 40.850947),MN12,MN,FoodScrap
Queens,,40.76267874,-73.92014229,POINT (-73.92014229 40.76267874),QW01,QW,FoodScrap
Brooklyn,,40.68419729,-73.93525746,POINT (-73.93525746 40.68419729),BKN03,BKN,FoodScrap
Queens,MacDonald Park: Queens Blvd and 70th Ave,40.721268,-73.846877,POINT (-73.846877 40.721268),QW06,QW,FoodScrap
Manhattan,,40.72504421,-73.98699125,POINT (-73.98699125 40.72504421),MN03,MN,FoodScrap
Queens,"26-25 97th St, Queens, NY 11369",40.7616519,-73.8720745,POINT (-73.8720745 40.7616519),QW03,QW,FoodScrap
Manhattan,,40.76175746,-73.96866043,POINT (-73.96866043 40.76175746),MN05,MN,FoodScrap
Manhattan,,40.79786102,-73.96400325,POINT (-73.96400325 40.79786102),MN07,MN,FoodScrap
Manhattan,,40.70815249,-74.0020686,POINT (-74.0020686 40.70815249),MN01,MN,FoodScrap
Manhattan,,40.82979403,-73.94453757,POINT (-73.94453757 40.82979403),MN09,MN,FoodScrap
Manhattan,,40.77068591,-73.98008527,POINT (-73.98008527 40.77068591),MN07,MN,FoodScrap
